Total Analyzed: 520
----------------------------------------------------------------------------------------------------
Rank | Name            | Code     | Score  | Prof  | Stab  | Cap   | Imp   | Acc  
59   | 넥스틴             | 348210   |   88.8 |   1.4 |  -0.4 |   0.2 |  -0.3 |  -0.0
60   | GST             | 083450   |   88.7 |   0.7 |   0.3 |   0.3 |  -0.1 |  -0.2
61   | 태광              | 023160   |   88.5 |   0.3 |   0.3 |   0.8 |  -0.1 |  -0.1
62   | 명인제약            | 317450   |   88.3 |  -0.1 |   0.3 |   1.5 |  -0.1 |  -0.4
63   | 펌텍코리아           | 251970   |   88.1 |   0.5 |   0.5 |   0.2 |  -0.0 |  -0.1
64   | 코미코             | 183300   |   87.9 |   1.0 |   0.3 |  -0.3 |  -0.1 |  -0.1
65   | 에스엠             | 041510   |   87.7 |   0.8 |   0.1 |  -0.0 |   0.4 |  -0.5
66   | DB하이텍           | 000990   |   87.5 |   0.5 |   0.3 |   0.2 |  -0.0 |   0.0
67   | 에스앤에스텍          | 101490   |   87.3 |   0.7 |   0.4 |   0.1 |   0.1 |  -0.4
68   | 미원에스씨           | 268280   |   87.1 |   0.4 |   0.4 |   0.4 |  -0.1 |  -0.0
69   | 덕산네오룩스          | 213420   |   86.9 |   0.5 |   0.4 |   0.1 |   0.0 |  -0.1
70   | 이오테크닉스          | 039030   |   86.7 |   0.2 |   0.2 |   0.7 |   0.2 |  -0.0
71   | 성광벤드            | 014620   |   86.5 |   0.2 |   0.2 |   1.1 |  -0.1 |  -0.4
72   | 디앤디플랫폼리츠        | 377190   |   86.3 |  -0.2 |   1.7 |  -0.4 |  -0.1 |  -0.0
73   | 안랩              | 053800   |   86.2 |   0.2 |   0.8 |   0.3 |  -0.1 |  -0.5
74   | 동국제약            | 086450   |   86.0 |   0.5 |   0.5 |   0.1 |  -0.1 |  -0.1
75   | 하나투어            | 039130   |   85.8 |   1.1 |   0.1 |  -0.3 |  -0.2 |  -0.0
76   | SNT에너지          | 100840   |   85.6 |   0.6 |  -0.1 |  -0.1 |   0.7 |   0.1
77   | JW중외제약          | 001060   |   85.4 |   0.8 |   0.3 |  -0.1 |  -0.1 |  -0.3
78   | KT&G            | 033780   |   85.2 |   0.7 |   0.3 |  -0.1 |  -0.1 |  -0.3
79   | 이녹스첨단소재         | 272290   |   85.0 |   0.6 |   0.4 |  -0.1 |  -0.1 |  -0.0
80   | 우리기술투자          | 041190   |   84.8 |   1.1 |  -0.0 |   0.1 |  -0.0 |  -0.9
81   | 이수페타시스          | 007660   |   84.6 |   0.7 |   0.1 |  -0.0 |   0.1 |  -0.1
82   | 디어유             | 376300   |   84.4 |   0.4 |   0.1 |   0.7 |  -0.1 |  -0.4
83   | 더존비즈온           | 012510   |   84.2 |   0.8 |   0.4 |  -0.3 |  -0.0 |  -0.4
84   | 셀트리온            | 068270   |   84.0 |   0.5 |   0.2 |   0.1 |   0.1 |   0.0
85   | 현대로템            | 064350   |   83.8 |   0.7 |   0.1 |  -0.3 |   0.2 |  -0.0
86   | 영원무역홀딩스         | 009970   |   83.7 |   0.3 |   0.3 |   0.3 |  -0.1 |  -0.0
87   | NICE평가정보        | 030190   |   83.5 |   0.7 |   0.4 |   0.1 |  -0.0 |  -1.0
88   | SK리츠            | 395400   |   83.3 |   1.1 |   0.2 |  -0.4 |  -0.1 |  -0.8
89   | 오리온홀딩스          | 001800   |   83.1 |   0.4 |   0.3 |   0.2 |  -0.1 |  -0.1
90   | 지아이이노베이션        | 358570   |   82.9 |  -1.0 |  -1.0 |  -0.1 |   4.6 |   1.2
91   | 리노공업            | 058470   |   82.7 |   0.0 |  -1.0 |   1.6 |   0.1 |   1.2
92   | 엠씨넥스            | 097520   |   82.5 |   0.2 |   0.6 |  -0.1 |   0.1 |  -0.0
93   | 에스티팜            | 237690   |   82.3 |   0.2 |   0.6 |   0.0 |  -0.0 |   0.1
94   | 신세계 I&C         | 035510   |   82.1 |   0.0 |   0.6 |   0.1 |   0.0 |   0.0
95   | 강원랜드            | 035250   |   81.9 |   0.3 |   0.2 |   0.4 |  -0.1 |  -0.1
96   | 더핑크퐁컴퍼니         | 403850   |   81.7 |   0.3 |   0.3 |   0.3 |  -0.1 |  -0.1
97   | 한국앤컴퍼니          | 000240   |   81.5 |   0.5 |   0.2 |   0.2 |  -0.1 |  -0.3
98   | 경동나비엔           | 009450   |   81.3 |   0.5 |   0.3 |  -0.2 |  -0.1 |   0.0
99   | 웅진              | 016880   |   81.2 |   0.4 |  -0.2 |   0.5 |   0.4 |  -0.5
100  | 현대무벡스           | 319400   |   81.0 |   0.3 |   0.4 |  -0.1 |  -0.0 |   0.1
101  | 모토닉             | 009680   |   80.8 |  -0.2 |   0.2 |   1.1 |  -0.2 |  -0.1
102  | 케이아이엔엑스         | 093320   |   80.6 |   0.2 |   0.5 |   0.1 |  -0.1 |  -0.1
103  | 메디톡스            | 086900   |   80.4 |   0.2 |   0.4 |   0.1 |  -0.1 |  -0.0
104  | 코오롱ENP          | 138490   |   80.2 |   0.2 |   0.4 |   0.3 |  -0.1 |  -0.4
105  | 한솔케미칼           | 014680   |   80.0 |   0.6 |   0.3 |   0.0 |  -0.0 |  -0.8
106  | 비에이치아이          | 083650   |   79.8 |   0.7 |  -0.3 |  -0.3 |   0.6 |   0.0
107  | 미원상사            | 002840   |   79.6 |   0.2 |   0.2 |   0.5 |  -0.2 |  -0.1
108  | BYC             | 001460   |   79.4 |   0.2 |   0.5 |   0.0 |  -0.1 |  -0.0
109  | 주성엔지니어링         | 036930   |   79.2 |   0.6 |  -0.2 |   0.3 |  -0.3 |   0.0
110  | 티에스이            | 131290   |   79.0 |   0.2 |   0.3 |   0.2 |  -0.0 |  -0.0
111  | 아이티센글로벌         | 124500   |   78.8 |  -0.1 |   0.6 |  -0.3 |   0.7 |   0.1
112  | 온코닉테라퓨틱스        | 476060   |   78.7 |   0.1 |  -1.0 |  -0.1 |   1.8 |   1.2
113  | 하나머티리얼즈         | 166090   |   78.5 |   0.3 |   0.4 |  -0.1 |  -0.1 |   0.0
114  | JW홀딩스           | 096760   |   78.3 |   0.9 |   0.3 |  -0.3 |  -0.1 |  -1.1
115  | 한미약품            | 128940   |   78.1 |   0.5 |   0.2 |  -0.1 |  -0.1 |  -0.4
116  | 일신방직            | 003200   |   77.9 |  -0.5 |   1.0 |   0.3 |  -0.1 |   0.0
117  | 효성              | 004800   |   77.7 |   0.5 |   0.2 |  -0.2 |   0.2 |  -0.1
118  | 우진              | 105840   |   77.5 |   0.0 |   0.3 |   0.4 |  -0.1 |  -0.0
119  | 에이블씨엔씨          | 078520   |   77.3 |   0.5 |   0.1 |  -0.0 |  -0.2 |  -0.1
120  | LS마린솔루션         | 060370   |   77.1 |  -0.2 |   0.4 |   0.2 |   0.4 |   0.0
121  | 수산인더스트리         | 126720   |   76.9 |  -0.0 |   0.3 |   0.4 |  -0.1 |  -0.0
122  | GKL             | 114090   |   76.7 |   0.3 |   0.2 |   0.1 |  -0.0 |  -0.1
123  | 현대엘리베이터         | 017800   |   76.5 |   0.5 |   0.3 |  -0.3 |  -0.1 |  -0.0
124  | 파미셀             | 005690   |   76.3 |  -0.0 |  -1.0 |  -0.1 |   2.1 |   1.2
125  | 시노펙스            | 025320   |   76.2 |   0.3 |   0.3 |  -0.0 |  -0.1 |  -0.1
126  | 삼성전자            | 005930   |   76.0 |   0.2 |   0.3 |   0.2 |  -0.1 |  -0.1
127  | 삼영              | 003720   |   75.8 |   0.0 |   0.8 |  -0.3 |  -0.0 |  -0.2
128  | SNT홀딩스          | 036530   |   75.6 |   0.1 |   0.4 |   0.2 |  -0.0 |  -0.4
129  | LS에코에너지         | 229640   |   75.4 |   0.3 |   0.3 |  -0.2 |  -0.0 |  -0.0
130  | 미스토홀딩스          | 081660   |   75.2 |   0.5 |   0.1 |  -0.1 |  -0.1 |   0.0
131  | LG씨엔에스          | 064400   |   75.0 |   0.1 |   0.4 |  -0.1 |  -0.1 |   0.0
132  | 신성델타테크          | 065350   |   74.8 |  -0.6 |   0.1 |  -0.3 |   2.2 |   0.1
133  | 미코              | 059090   |   74.6 |   0.3 |   0.3 |  -0.4 |   0.2 |   0.0
134  | 한전기술            | 052690   |   74.4 |   0.5 |  -0.0 |   0.1 |  -0.2 |  -0.2
135  | SNT다이내믹스        | 003570   |   74.2 |   0.1 |   0.2 |   0.3 |  -0.1 |  -0.0
136  | 백산              | 035150   |   74.0 |   0.5 |   0.1 |  -0.1 |  -0.1 |  -0.2
137  | 아모레퍼시픽홀딩스       | 002790   |   73.8 |   0.4 |   0.0 |   0.2 |  -0.0 |  -0.5
138  | 다우기술            | 023590   |   73.7 |  -0.2 |   0.5 |   0.1 |   0.1 |  -0.1
139  | 한전KPS           | 051600   |   73.5 |   0.1 |   0.2 |   0.3 |  -0.2 |   0.1
