Total Analyzed: 520
----------------------------------------------------------------------------------------------------
Rank | Name            | Code     | Score  | Prof  | Stab  | Cap   | Imp   | Acc  
254  | 카프로             | 006380   |   51.3 |  -0.2 |  -1.0 |  -0.1 |   1.3 |   1.2
255  | 넥센              | 005720   |   51.2 |  -0.2 |   0.3 |  -0.3 |  -0.1 |   0.0
256  | 한화투자증권          | 003530   |   51.0 |  -0.5 |  -0.7 |  -0.0 |   1.9 |  -0.0
257  | NICE            | 034310   |   50.8 |  -0.2 |   0.4 |  -0.3 |  -0.1 |  -0.1
258  | 대한제분            | 001130   |   50.6 |  -0.3 |   0.2 |  -0.0 |  -0.1 |   0.1
259  | 신대양제지           | 016590   |   50.4 |  -0.4 |   0.2 |   0.2 |  -0.1 |  -0.0
260  | 명신산업            | 009900   |   50.2 |   0.0 |  -0.1 |  -0.0 |  -0.2 |   0.0
261  | BGF리테일          | 282330   |   50.0 |  -0.1 |   0.3 |  -0.4 |  -0.1 |  -0.2
262  | 롯데렌탈            | 089860   |   49.8 |  -0.2 |   0.4 |  -0.4 |  -0.1 |   0.1
263  | LG생활건강          | 051900   |   49.6 |  -0.1 |  -0.0 |   0.2 |  -0.2 |  -0.1
264  | 우리금융지주          | 316140   |   49.4 |  -0.3 |  -0.2 |   0.6 |  -0.2 |   0.1
265  | 에코프로에이치엔        | 383310   |   49.2 |  -0.1 |  -0.1 |   0.2 |  -0.3 |   0.1
266  | INVENI          | 015360   |   49.0 |  -0.0 |  -0.2 |  -0.2 |   0.3 |   0.0
267  | KCC             | 002380   |   48.8 |   0.2 |  -0.0 |  -0.3 |  -0.1 |  -0.5
268  | 선진              | 136490   |   48.7 |   0.1 |  -0.1 |  -0.3 |   0.0 |  -0.1
269  | DB손해보험          | 005830   |   48.5 |   0.1 |  -0.2 |  -0.1 |  -0.1 |   0.0
270  | 일진홀딩스           | 015860   |   48.3 |  -0.3 |   0.2 |  -0.2 |   0.1 |  -0.0
271  | HDC             | 012630   |   48.1 |  -0.2 |   0.2 |  -0.3 |   0.1 |   0.1
272  | KG스틸            | 016380   |   47.9 |  -0.3 |   0.3 |  -0.2 |  -0.1 |   0.0
273  | 삼화콘덴서           | 001820   |   47.7 |  -0.4 |   0.0 |   0.3 |  -0.2 |  -0.0
274  | GS              | 078930   |   47.5 |  -0.2 |   0.3 |  -0.2 |  -0.1 |  -0.0
275  | 기업은행            | 024110   |   47.3 |  -0.3 |  -0.2 |   0.5 |  -0.1 |   0.0
276  | 퍼시스             | 016800   |   47.1 |  -0.2 |  -0.2 |   0.4 |  -0.3 |  -0.2
277  | BNK금융지주         | 138930   |   46.9 |  -0.3 |  -0.2 |   0.5 |  -0.1 |   0.1
278  | JB금융지주          | 175330   |   46.7 |  -0.2 |  -0.2 |   0.3 |  -0.1 |  -0.1
279  | 신세계             | 004170   |   46.5 |   0.0 |   0.1 |  -0.4 |  -0.1 |  -0.2
280  | 비올              | 335890   |   46.3 |   0.3 |  -1.0 |  -0.1 |  -0.1 |   1.2
281  | 서흥              | 008490   |   46.2 |  -0.2 |   0.2 |  -0.2 |  -0.0 |   0.0
282  | TYM             | 002900   |   46.0 |  -0.1 |  -0.1 |  -0.2 |   0.1 |   0.0
283  | KSS해운           | 044450   |   45.8 |   0.1 |   0.3 |  -0.4 |  -0.1 |  -0.8
284  | 시프트업            | 462870   |   45.6 |   0.3 |  -1.0 |  -0.1 |   0.1 |   1.2
285  | HD현대인프라코어       | 042670   |   45.4 |  -0.2 |   0.2 |  -0.2 |  -0.1 |   0.0
286  | 솔브레인홀딩스         | 036830   |   45.2 |  -0.2 |   0.1 |  -0.1 |  -0.1 |  -0.0
287  | 노루홀딩스           | 000320   |   45.0 |  -0.2 |   0.1 |  -0.1 |  -0.2 |  -0.1
288  | 대상              | 001680   |   44.8 |  -0.3 |   0.3 |  -0.3 |  -0.1 |   0.1
289  | 신한알파리츠          | 293940   |   44.6 |  -0.2 |   0.4 |  -0.4 |  -0.1 |  -0.1
290  | 남해화학            | 025860   |   44.4 |  -0.4 |   0.2 |   0.0 |  -0.0 |   0.1
291  | HD현대            | 267250   |   44.2 |  -0.2 |   0.2 |  -0.3 |   0.0 |   0.0
292  | 신한지주            | 055550   |   44.0 |  -0.3 |  -0.2 |   0.4 |  -0.1 |   0.0
293  | 종근당             | 185750   |   43.8 |  -0.1 |  -0.0 |  -0.1 |  -0.2 |   0.0
294  | SK텔레콤           | 017670   |   43.7 |  -0.1 |   0.2 |  -0.3 |  -0.2 |  -0.0
295  | 롯데리츠            | 330590   |   43.5 |  -0.2 |   0.2 |  -0.4 |  -0.1 |   0.1
296  | 금호석유화학          | 011780   |   43.3 |  -0.4 |   0.3 |   0.1 |  -0.1 |  -0.1
297  | 콜마홀딩스           | 024720   |   43.1 |  -0.3 |   0.3 |  -0.1 |  -0.1 |   0.0
298  | SJG세종           | 033530   |   42.9 |  -0.1 |   0.1 |  -0.3 |  -0.0 |   0.0
299  | 티엘비             | 356860   |   42.7 |  -0.1 |  -0.5 |  -0.2 |   0.8 |  -0.1
300  | 유한양행            | 000100   |   42.5 |  -0.4 |   0.1 |   0.1 |  -0.1 |  -0.1
301  | 대한해운            | 005880   |   42.3 |  -0.1 |   0.0 |  -0.1 |  -0.3 |  -0.1
302  | 두산밥캣            | 241560   |   42.1 |  -0.2 |   0.1 |  -0.1 |  -0.2 |  -0.0
303  | 삼양사             | 145990   |   41.9 |  -0.3 |   0.2 |  -0.1 |  -0.2 |  -0.0
304  | 현대차             | 005380   |   41.7 |  -0.2 |   0.3 |  -0.4 |  -0.1 |  -0.1
305  | 삼성증권            | 016360   |   41.5 |  -0.2 |  -0.2 |   0.1 |  -0.1 |   0.1
306  | DL이앤씨           | 375500   |   41.3 |  -0.4 |   0.4 |  -0.2 |  -0.0 |  -0.2
307  | HPSP            | 403870   |   41.2 |   0.2 |  -1.0 |  -0.0 |   0.0 |   1.2
308  | 대상홀딩스           | 084690   |   41.0 |  -0.4 |   0.3 |  -0.3 |  -0.1 |   0.1
309  | 삼성물산            | 028260   |   40.8 |  -0.2 |   0.3 |  -0.1 |  -0.2 |  -0.7
310  | 세아제강            | 306200   |   40.6 |  -0.1 |  -0.2 |   0.1 |  -0.2 |   0.1
311  | 엔씨소프트           | 036570   |   40.4 |  -0.3 |  -0.2 |   0.3 |  -0.1 |   0.0
312  | 대원전선            | 006340   |   40.2 |  -0.4 |   0.2 |  -0.2 |  -0.1 |   0.0
313  | 유바이오로직스         | 206650   |   40.0 |  -0.0 |  -1.0 |  -0.1 |   0.5 |   1.2
314  | 풍산              | 103140   |   39.8 |  -0.3 |   0.1 |  -0.1 |  -0.1 |   0.0
315  | 교촌에프앤비          | 339770   |   39.6 |   0.0 |  -0.3 |  -0.2 |   0.2 |  -0.2
316  | SK오션플랜트         | 100090   |   39.4 |  -0.6 |   0.2 |  -0.1 |   0.1 |   0.1
317  | 고려아연            | 010130   |   39.2 |  -0.5 |   0.3 |  -0.2 |   0.1 |   0.0
318  | HDC현대산업개발       | 294870   |   39.0 |  -0.4 |   0.3 |  -0.3 |  -0.1 |   0.1
319  | 코리안리            | 003690   |   38.8 |  -0.2 |   0.0 |  -0.3 |  -0.1 |   0.0
320  | NH투자증권          | 005940   |   38.7 |  -0.3 |  -0.1 |   0.0 |  -0.1 |  -0.0
321  | 세아제강지주          | 003030   |   38.5 |  -0.5 |   0.3 |  -0.2 |  -0.1 |   0.1
322  | 팬오션             | 028670   |   38.3 |  -0.5 |   0.3 |  -0.2 |  -0.1 |   0.0
323  | 흥아해운            | 003280   |   38.1 |   0.0 |  -0.1 |  -0.1 |  -0.2 |  -0.3
324  | HS효성            | 487570   |   37.9 |  -0.7 |  -0.3 |  -0.2 |   1.4 |   0.1
325  | 롯데칠성            | 005300   |   37.7 |  -0.3 |   0.3 |  -0.4 |  -0.2 |  -0.0
326  | 아세아제지           | 002310   |   37.5 |  -0.5 |   0.2 |   0.2 |  -0.2 |  -0.0
327  | 씨앤씨인터내셔널        | 352480   |   37.3 |  -0.2 |  -0.0 |  -0.0 |  -0.2 |  -0.1
328  | 제이알글로벌리츠        | 348950   |   37.1 |  -0.2 |   0.1 |  -0.3 |  -0.1 |  -0.1
329  | 교보증권            | 030610   |   36.9 |  -0.3 |  -0.1 |   0.0 |  -0.0 |   0.1
330  | iM금융지주          | 139130   |   36.7 |  -0.4 |  -0.6 |   0.7 |  -0.0 |   0.0
331  | HD현대건설기계        | 267270   |   36.5 |  -0.4 |   0.2 |  -0.1 |  -0.1 |  -0.0
332  | KG케미칼           | 001390   |   36.3 |  -0.4 |   0.4 |  -0.3 |  -0.1 |  -0.2
333  | 삼천리             | 004690   |   36.2 |  -0.5 |   0.3 |  -0.3 |  -0.1 |   0.0
334  | 오뚜기             | 007310   |   36.0 |  -0.4 |   0.2 |  -0.1 |  -0.1 |   0.0
335  | 한미사이언스          | 008930   |   35.8 |  -0.2 |  -0.0 |  -0.2 |  -0.1 |  -0.1
336  | 제룡전기            | 033100   |   35.6 |   0.2 |  -1.0 |   0.0 |  -0.2 |   1.2
337  | 현대위아            | 011210   |   35.4 |  -0.6 |   0.4 |  -0.1 |  -0.1 |   0.0
338  | 코오롱인더           | 120110   |   35.2 |  -0.4 |   0.3 |  -0.2 |  -0.1 |   0.0
339  | HL만도            | 204320   |   35.0 |  -0.4 |   0.3 |  -0.3 |  -0.1 |  -0.0
340  | 대한제당            | 001790   |   34.8 |  -0.3 |   0.1 |  -0.2 |  -0.1 |   0.0
341  | 동원시스템즈          | 014820   |   34.6 |  -0.4 |   0.2 |  -0.2 |  -0.1 |  -0.0
342  | 현대해상            | 001450   |   34.4 |  -0.1 |  -0.4 |   0.2 |  -0.2 |  -0.1
343  | 포스코스틸리온         | 058430   |   34.2 |  -0.4 |   0.0 |   0.1 |  -0.2 |  -0.1
344  | 쏠리드             | 050890   |   34.0 |   0.1 |  -0.4 |  -0.1 |  -0.3 |  -0.1
345  | 엠로              | 058970   |   33.8 |  -0.0 |  -0.4 |   0.2 |  -0.2 |  -0.4
346  | 현대차증권           | 001500   |   33.7 |  -0.4 |   0.0 |   0.0 |  -0.1 |  -0.1
347  | 삼성생명            | 032830   |   33.5 |  -0.3 |  -0.1 |   0.1 |  -0.1 |   0.0
348  | 피엔티             | 137400   |   33.3 |   0.3 |  -0.3 |  -0.3 |  -0.4 |  -0.2
349  | 삼양홀딩스           | 000070   |   33.1 |  -0.5 |   0.2 |  -0.1 |  -0.1 |  -0.0
350  | 서연              | 007860   |   32.9 |  -0.2 |   0.1 |  -0.3 |  -0.1 |  -0.3
351  | KB금융            | 105560   |   32.7 |  -0.3 |  -0.1 |   0.4 |  -0.1 |  -0.9
352  | 가온전선            | 000500   |   32.5 |  -0.3 |   0.1 |  -0.3 |   0.2 |  -0.2
353  | 삼양패키징           | 272550   |   32.3 |  -0.4 |   0.1 |  -0.2 |  -0.2 |  -0.1
354  | 한국항공우주          | 047810   |   32.1 |  -0.4 |   0.2 |  -0.3 |  -0.2 |  -0.1
355  | 한화손해보험          | 000370   |   31.9 |  -0.2 |  -0.2 |  -0.1 |  -0.1 |   0.0
356  | PKC             | 001340   |   31.7 |  -0.5 |   0.3 |  -0.4 |  -0.0 |   0.0
357  | 삼성화재            | 000810   |   31.5 |  -0.1 |  -0.2 |  -0.2 |  -0.1 |   0.0
358  | LG유플러스          | 032640   |   31.3 |  -0.4 |   0.2 |  -0.3 |  -0.1 |  -0.1
359  | 태광산업            | 003240   |   31.2 |  -0.7 |  -0.2 |   0.6 |  -0.2 |   0.0
360  | 한국화장품제조         | 003350   |   31.0 |   0.1 |  -1.0 |  -0.1 |  -0.1 |   1.2
361  | 한화              | 000880   |   30.8 |  -0.4 |  -0.2 |  -0.2 |   0.5 |  -0.1
362  | 자화전자            | 033240   |   30.6 |  -0.5 |   0.2 |  -0.2 |  -0.1 |  -0.0
363  | DB증권            | 016610   |   30.4 |  -0.4 |  -0.1 |   0.1 |  -0.1 |  -0.2
364  | CJ대한통운          | 000120   |   30.2 |  -0.5 |   0.3 |  -0.3 |  -0.1 |  -0.1
365  | 한국쉘석유           | 002960   |   30.0 |   0.1 |  -1.0 |  -0.1 |  -0.1 |   1.2
366  | 한세실업            | 105630   |   29.8 |  -0.3 |   0.0 |  -0.2 |  -0.2 |   0.1
367  | 서울보증보험          | 031210   |   29.6 |  -0.3 |  -0.1 |  -0.2 |  -0.1 |   0.1
368  | 서연이화            | 200880   |   29.4 |  -0.3 |   0.1 |  -0.3 |  -0.1 |  -0.2
369  | 레이크머티리얼즈        | 281740   |   29.2 |  -0.0 |  -0.1 |  -0.3 |  -0.2 |  -0.2
370  | 서울가스            | 017390   |   29.0 |  -0.7 |  -0.0 |   0.3 |  -0.1 |   0.0
371  | 아세아             | 002030   |   28.8 |  -0.4 |   0.1 |  -0.1 |  -0.2 |  -0.0
372  | 제주은행            | 006220   |   28.7 |  -0.5 |  -0.2 |   0.3 |  -0.1 |  -0.1
373  | 두산              | 000150   |   28.5 |  -0.5 |   0.3 |  -0.3 |  -0.1 |   0.1
374  | 신영증권            | 001720   |   28.3 |  -0.3 |  -0.1 |  -0.2 |  -0.1 |  -0.0
375  | 엠앤씨솔루션          | 484870   |   28.1 |  -0.1 |  -1.0 |  -0.1 |   0.1 |   1.2
376  | 유진투자증권          | 001200   |   27.9 |  -0.4 |  -0.1 |   0.0 |  -0.1 |  -0.2
377  | 부국증권            | 001270   |   27.7 |  -0.4 |  -0.1 |  -0.1 |  -0.1 |   0.0
378  | CJ              | 001040   |   27.5 |  -0.3 |  -0.0 |  -0.4 |  -0.0 |  -0.1
379  | 한국가스공사          | 036460   |   27.3 |  -0.4 |   0.2 |  -0.4 |  -0.2 |   0.0
380  | 넷마블             | 251270   |   27.1 |  -0.4 |  -0.1 |  -0.1 |  -0.1 |   0.0
381  | LS              | 006260   |   26.9 |  -0.5 |   0.3 |  -0.3 |  -0.1 |  -0.1
382  | 현대코퍼레이션         | 011760   |   26.7 |  -0.5 |   0.2 |  -0.3 |  -0.1 |  -0.0
383  | 광동제약            | 009290   |   26.5 |  -0.5 |   0.1 |  -0.2 |  -0.2 |   0.0
384  | SIMPAC          | 009160   |   26.3 |  -0.7 |   0.3 |  -0.2 |   0.1 |  -0.1
385  | 한일시멘트           | 300720   |   26.2 |  -0.2 |  -0.2 |  -0.1 |  -0.3 |  -0.1
386  | 롯데웰푸드           | 280360   |   26.0 |  -0.4 |  -0.0 |  -0.2 |  -0.2 |   0.1
387  | 삼성중공업           | 010140   |   25.8 |  -0.3 |  -0.1 |  -0.4 |   0.0 |  -0.0
388  | 하림지주            | 003380   |   25.6 |  -0.4 |   0.1 |  -0.4 |  -0.1 |  -0.2
389  | 대한항공            | 003490   |   25.4 |  -0.3 |  -0.0 |  -0.4 |  -0.0 |  -0.1
390  | 삼양컴텍            | 484590   |   25.2 |  -0.1 |  -1.0 |  -0.1 |   0.1 |   1.2
391  | 세방              | 004360   |   25.0 |  -0.5 |   0.1 |   0.1 |  -0.2 |  -0.7
392  | 펩트론             | 087010   |   24.8 |  -0.4 |  -1.0 |  -0.1 |   0.6 |   1.2
393  | 풀무원             | 017810   |   24.6 |  -0.4 |   0.1 |  -0.4 |  -0.1 |  -0.1
394  | 한화생명            | 088350   |   24.4 |  -0.4 |  -0.3 |   0.2 |  -0.2 |  -0.1
395  | 아세아시멘트          | 183190   |   24.2 |  -0.3 |  -0.1 |  -0.2 |  -0.2 |  -0.0
396  | 대한전선            | 001440   |   24.0 |  -0.6 |   0.2 |  -0.2 |  -0.1 |  -0.0
397  | 에스엠벡셀           | 010580   |   23.8 |  -0.2 |  -1.0 |  -0.1 |   0.1 |   1.2
398  | CJ제일제당          | 097950   |   23.7 |  -0.5 |   0.2 |  -0.3 |  -0.2 |  -0.1
399  | 휴스틸             | 005010   |   23.5 |  -0.7 |  -0.0 |   0.1 |  -0.2 |   0.1
400  | 대한제강            | 084010   |   23.3 |  -0.7 |   0.0 |   0.1 |  -0.2 |  -0.1
401  | 넥스트바이오메디컬       | 389650   |   23.1 |  -0.2 |  -1.0 |  -0.1 |   0.1 |   1.2
402  | 셀트리온제약          | 068760   |   22.9 |  -0.2 |  -1.0 |  -0.1 |   0.1 |   1.2
403  | 휴메딕스            | 200670   |   22.7 |  -0.1 |  -1.0 |  -0.1 |  -0.1 |   1.2
404  | 감성코퍼레이션         | 036620   |   22.5 |  -0.1 |  -1.0 |  -0.1 |  -0.1 |   1.2
405  | 한화엔진            | 082740   |   22.3 |  -0.1 |  -1.0 |  -0.1 |   0.0 |   1.2
406  | 삼성카드            | 029780   |   22.1 |  -0.3 |  -0.2 |  -0.3 |  -0.1 |  -0.0
407  | 티씨케이            | 064760   |   21.9 |  -0.1 |  -1.0 |  -0.1 |  -0.1 |   1.2
408  | 유안타증권           | 003470   |   21.7 |  -0.4 |  -0.3 |   0.2 |  -0.2 |  -0.1
409  | 국도화학            | 007690   |   21.5 |  -0.5 |  -0.1 |  -0.2 |   0.1 |  -0.0
410  | LG전자            | 066570   |   21.3 |  -0.4 |  -0.0 |  -0.3 |  -0.1 |  -0.1
411  | 아이마켓코리아         | 122900   |   21.2 |  -0.6 |   0.2 |  -0.3 |  -0.2 |   0.1
412  | 포스코인터내셔널        | 047050   |   21.0 |  -0.6 |   0.2 |  -0.3 |  -0.1 |  -0.2
413  | 사조대림            | 003960   |   20.8 |  -0.5 |   0.0 |  -0.3 |  -0.0 |  -0.1
414  | 카카오             | 035720   |   20.6 |  -0.5 |  -0.0 |  -0.1 |  -0.1 |  -0.2
415  | 해성디에스           | 195870   |   20.4 |  -0.4 |  -0.2 |  -0.1 |  -0.2 |   0.0
416  | 아이쓰리시스템         | 214430   |   20.2 |  -0.1 |  -1.0 |  -0.1 |  -0.1 |   1.2
417  | 케이카             | 381970   |   20.0 |  -0.1 |  -1.0 |  -0.1 |  -0.1 |   1.2
418  | 한국자산신탁          | 123890   |   19.8 |  -0.4 |  -0.4 |   0.1 |  -0.2 |  -0.0
419  | 하이브             | 352820   |   19.6 |  -0.4 |  -0.3 |   0.1 |  -0.1 |  -0.3
420  | 조광피혁            | 004700   |   19.4 |  -0.2 |  -1.0 |  -0.1 |  -0.0 |   1.2
421  | 유나이티드제약         | 033270   |   19.2 |  -0.1 |  -1.0 |  -0.1 |  -0.1 |   1.2
422  | HK이노엔           | 195940   |   19.0 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
423  | PI첨단소재          | 178920   |   18.8 |  -0.1 |  -1.0 |  -0.1 |  -0.1 |   1.2
424  | 효성티앤씨           | 298020   |   18.7 |  -0.5 |   0.1 |  -0.4 |  -0.2 |  -0.0
425  | 디아이씨            | 092200   |   18.5 |  -0.6 |   0.2 |  -0.4 |  -0.1 |  -0.1
426  | 흥국화재            | 000540   |   18.3 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
427  | 한양증권            | 001750   |   18.1 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
428  | 에코프로머티          | 450080   |   17.9 |  -0.2 |  -1.0 |  -0.1 |  -0.0 |   1.2
429  | 한일홀딩스           | 003300   |   17.7 |  -0.4 |  -0.2 |  -0.1 |  -0.2 |  -0.1
430  | SK디스커버리         | 006120   |   17.5 |  -0.6 |  -0.2 |  -0.3 |   0.2 |   0.0
431  | 대신증권            | 003540   |   17.3 |  -0.4 |  -0.3 |  -0.0 |  -0.1 |  -0.3
432  | 미래에셋벤처투자        | 100790   |   17.1 |  -0.6 |  -0.8 |   1.0 |  -0.2 |   0.0
433  | 삼진제약            | 005500   |   16.9 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
434  | 대원강업            | 000430   |   16.7 |  -0.6 |   0.1 |  -0.3 |  -0.0 |  -0.2
435  | KT              | 030200   |   16.5 |  -0.3 |  -0.2 |  -0.3 |  -0.0 |  -0.1
436  | 광주신세계           | 037710   |   16.3 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
437  | 카카오뱅크           | 323410   |   16.2 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
438  | KB발해인프라         | 415640   |   15.5 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
439  | 삼성에피스홀딩스        | 0126Z0   |   15.5 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
440  | 맥쿼리인프라          | 088980   |   15.5 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
441  | 삼양바이오팜          | 0120G0   |   15.5 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
442  | 삼성FN리츠          | 448730   |   15.5 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
443  | 이지스밸류플러스리츠      | 334890   |   15.5 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
444  | 한화리츠            | 451800   |   14.8 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
445  | 코람코라이프인프라리츠     | 357120   |   14.6 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
446  | 코오롱티슈진          | 950160   |   14.4 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
447  | 켐트로닉스           | 089010   |   14.2 |  -0.4 |  -0.1 |  -0.4 |  -0.2 |   0.0
448  | 롯데손해보험          | 000400   |   14.0 |  -0.2 |  -1.0 |  -0.1 |  -0.2 |   1.2
449  | 한진칼             | 180640   |   13.8 |  -0.2 |  -0.3 |   0.0 |  -0.2 |  -0.7
450  | 포스코엠텍           | 009520   |   13.7 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
451  | 동운아나텍           | 094170   |   13.5 |  -0.1 |  -1.0 |  -0.1 |  -0.3 |   1.2
452  | 유일로보틱스          | 388720   |   13.3 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
453  | 테크윙             | 089030   |   13.1 |  -0.5 |  -0.1 |  -0.3 |  -0.1 |   0.0
454  | 신세계인터내셔날        | 031430   |   12.9 |  -0.2 |  -0.5 |  -0.1 |  -0.3 |  -0.1
455  | HL홀딩스           | 060980   |   12.7 |  -0.6 |   0.1 |  -0.3 |  -0.2 |  -0.0
456  | 솔루엠             | 248070   |   12.5 |  -0.5 |  -0.1 |  -0.3 |  -0.2 |   0.1
457  | 일성아이에스          | 003120   |   12.3 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
458  | 영진약품            | 003520   |   12.1 |  -0.2 |  -1.0 |  -0.1 |  -0.2 |   1.2
459  | 한농화성            | 011500   |   11.9 |  -0.2 |  -1.0 |  -0.1 |  -0.2 |   1.2
460  | 앱클론             | 174900   |   11.7 |  -0.4 |  -1.0 |  -0.1 |   0.2 |   1.2
461  | GS리테일           | 007070   |   11.5 |  -0.5 |  -0.1 |  -0.3 |  -0.0 |  -0.2
462  | 쎄트렉아이           | 099320   |   11.3 |  -0.4 |  -0.4 |  -0.1 |  -0.1 |  -0.0
463  | 동국제강            | 460860   |   11.2 |  -0.2 |  -1.0 |  -0.1 |  -0.2 |   1.2
464  | 태웅              | 044490   |   11.0 |  -0.2 |  -1.0 |  -0.1 |  -0.2 |   1.2
465  | 일진하이솔루스         | 271940   |   10.8 |  -0.2 |  -1.0 |  -0.1 |  -0.1 |   1.2
466  | 두산테스나           | 131970   |   10.6 |  -0.2 |  -1.0 |  -0.1 |  -0.2 |   1.2
467  | 드림텍             | 192650   |   10.4 |  -0.7 |   0.1 |  -0.2 |  -0.1 |  -0.2
468  | 한국철강            | 104700   |   10.2 |  -0.2 |  -1.0 |  -0.1 |  -0.2 |   1.2
469  | 송원산업            | 004430   |   10.0 |  -0.5 |  -0.2 |  -0.0 |  -0.2 |   0.0
470  | LX인터내셔널         | 001120   |    9.8 |  -0.6 |   0.0 |  -0.3 |  -0.2 |  -0.0
471  | E1              | 017940   |    9.6 |  -0.7 |   0.0 |  -0.2 |  -0.1 |   0.0
472  | 코스모신소재          | 005070   |    9.4 |  -0.2 |  -1.0 |  -0.1 |  -0.3 |   1.2
473  | 롯데이노베이트         | 286940   |    9.2 |  -0.7 |   0.2 |  -0.2 |  -0.1 |  -0.4
474  | 두산에너빌리티         | 034020   |    9.0 |  -0.6 |  -0.0 |  -0.3 |  -0.2 |  -0.0
475  | LG이노텍           | 011070   |    8.8 |  -0.5 |  -0.2 |  -0.2 |  -0.2 |  -0.1
476  | SPC삼립           | 005610   |    8.7 |  -0.4 |  -0.2 |  -0.3 |  -0.2 |  -0.0
477  | 원익QnC           | 074600   |    8.5 |  -0.3 |  -0.3 |  -0.3 |  -0.2 |  -0.4
478  | LG화학            | 051910   |    8.3 |  -0.8 |  -0.1 |  -0.3 |   0.6 |  -0.6
479  | 방림              | 003610   |    8.1 |  -0.8 |  -0.3 |   0.2 |  -0.1 |   0.1
480  | 나노신소재           | 121600   |    7.9 |  -0.6 |  -0.2 |  -0.2 |  -0.1 |  -0.0
481  | 세아홀딩스           | 058650   |    7.7 |  -0.8 |   0.0 |  -0.2 |  -0.1 |   0.1
482  | 사조산업            | 007160   |    7.5 |  -0.6 |  -0.3 |  -0.3 |   0.1 |  -0.1
483  | 동국홀딩스           | 001230   |    7.3 |  -0.8 |  -0.1 |   0.0 |  -0.2 |  -0.1
484  | 프로티나            | 468530   |    7.1 |  -0.7 |  -1.0 |  -0.1 |   0.5 |   1.2
485  | 도화엔지니어링         | 002150   |    6.9 |  -0.8 |  -0.3 |  -0.4 |   0.4 |  -0.1
486  | 씨젠              | 096530   |    6.7 |  -0.1 |  -0.3 |   0.4 |  -0.1 |  -2.9
487  | 태영건설            | 009410   |    6.5 |  -0.7 |  -0.5 |  -0.2 |   0.3 |   0.1
488  | 진에어             | 272450   |    6.3 |  -0.4 |  -1.0 |  -0.1 |  -0.2 |   1.2
489  | 성신양회            | 004980   |    6.2 |  -0.6 |  -0.2 |  -0.3 |  -0.2 |  -0.1
490  | HS효성첨단소재        | 298050   |    6.0 |  -0.6 |  -0.1 |  -0.4 |  -0.2 |  -0.1
491  | SK네트웍스          | 001740   |    5.8 |  -0.8 |   0.1 |  -0.3 |  -0.2 |  -0.3
492  | 대덕              | 008060   |    5.6 |  -0.8 |  -0.4 |   0.2 |  -0.1 |  -0.0
493  | GS건설            | 006360   |    5.4 |  -0.7 |  -0.1 |  -0.3 |  -0.1 |  -0.1
494  | POSCO홀딩스        | 005490   |    5.2 |  -0.8 |   0.1 |  -0.1 |  -0.2 |  -0.9
495  | CR홀딩스           | 000480   |    5.0 |  -0.8 |  -0.2 |  -0.2 |  -0.1 |  -0.0
496  | SK              | 034730   |    4.8 |  -0.6 |  -0.4 |  -0.3 |  -0.1 |  -0.1
497  | 한화비전            | 489790   |    4.6 |  -0.2 |  -1.0 |  -0.2 |  -0.1 |   0.0
498  | 지투지바이오          | 456160   |    4.4 |  -0.5 |  -1.0 |  -0.1 |  -0.4 |   1.2
499  | GS피앤엘           | 499790   |    4.2 |  -0.2 |  -1.0 |  -0.3 |  -0.1 |   0.1
500  | LG에너지솔루션        | 373220   |    4.0 |  -0.7 |  -0.3 |  -0.3 |  -0.2 |  -0.2
501  | 아이센스            | 099190   |    3.8 |  -0.5 |  -0.3 |  -0.1 |   0.0 |  -1.5
502  | 세아베스틸지주         | 001430   |    3.7 |  -0.8 |  -0.1 |  -0.2 |  -0.2 |  -0.5
503  | 비에이치            | 090460   |    3.5 |  -0.7 |  -0.3 |  -0.2 |  -0.2 |  -0.2
504  | 카카오페이           | 377300   |    3.3 |  -0.7 |  -0.3 |  -0.1 |   0.0 |  -0.8
505  | 한진              | 002320   |    3.1 |  -0.8 |  -0.1 |  -0.4 |  -0.1 |  -0.6
506  | HJ중공업           | 097230   |    2.9 |  -1.0 |  -0.4 |  -0.2 |   0.1 |  -0.1
