Code,Is_Financial,ROE,ROA,ROIC,Operating_Margin,Gross_Margin,Revenue_Stability,OpProfit_Stability,NetIncome_Stability,EPS_Stability,Dividend_Stability,Debt_Ratio,Interest_Coverage,Current_Ratio,Equity_Ratio,ROE_Improvement,ROA_Improvement,Operating_Margin_Improvement,Gross_Margin_Improvement,Accruals,Net_Operating_Assets,Earnings_Smoothness
005930,False,8.057866779201527,6.362797511971517,4.29957743541797,9.513406144313798,36.64598576230967,1.948648538478418,1.7808344983006497,1.8561300301282926,0,0,26.640314484953503,2.4199300304706015,262.94148589319417,78.96379632876014,-3.5,0,-10.3,6.5,1.3571152028091658,1.0,1.2475270926884836
000660,False,35.70615051251771,24.056590426786133,18.25019823478409,42.95503466647639,55.276083104403774,1.953292253562712,1.700488775272827,1.4592329133905464,0,0,48.4257491778018,7.194136275818113,191.9407176496671,67.37379997978913,135.0,0,82.2,38.5,0.2191102958679306,1.000000673695557,0.8922652600464537
373220,False,1.487362629971887,0.6600467987058725,-0.5020862433293937,-1.8706085941246378,16.6515855972312,1.8145543268175643,0.46214345784756017,0.8743095083302103,0,0,125.34199588394334,-0.2685423525890452,105.75535575535575,44.37699222807206,,0,,-8.6,12.249773960216999,1.0,0.1540169356677708
207940,False,13.104093797724026,8.703571409095122,8.248760722680002,36.63711669815434,56.30358959453567,1.969990295454454,1.6108914673674046,1.7341087962858437,0,0,50.5599619028852,7.685975609756097,168.6845384880545,66.41872031324132,67.3,0,70.1,29.1,0.38800827015851136,1.0,1.4323672844666004
005380,False,9.298203065415311,3.288358111932268,2.6651155468141856,6.769902751887233,19.060296840027608,1.967528318212749,1.725797444854543,1.7209982188096868,0,0,182.76118736178347,11.891889340005665,74.78221183859556,35.36552265849435,-16.6,0,-14.4,8.4,1.6719805063877615,0.9999997178585919,0.7761843951393961
034020,False,0.7744686588798436,0.3400190173857384,2.18024707801938,4.680379577175331,15.950342822762718,1.9586545471038932,1.4551014313067419,0.6998200040303285,0,0,127.7721595793093,0.4904494382022472,109.82455407057546,43.903521916242106,-94.7,0,-29.6,4.8,4.928260869565217,1.0,0.18991633284154108
329180,False,19.9922660479505,6.21585487842413,6.292921860572484,10.642892436451922,15.776149721529181,1.9963660211977388,0.9992706831330032,1.3945559918256007,0,0,221.6334106728538,0.5724832655204095,93.35677346354503,31.091297322253002,263.2,0,245.7,18.2,3.0650626643973387,1.0,0.2100275584978827
105560,True,9.364946295479044,0.7312495524406348,0.7516115982294133,,,0.0,1.8905093497664378,2.2044948277269834,0,0,1180.6770362519871,,,7.808368882944347,28.0,0,-4.8,0.0,1.0659203980099503,0.9999998718971406,5.165416209534502
012450,False,24.223874808181986,6.408769284305765,4.687949622233673,14.555305068722275,22.987938539534785,1.8617699437255375,2.4015133191382447,5.445071415149031,0,0,277.9809783983407,1.929156626506024,92.00778624053598,26.456416799764437,133.9,0,301.5,211.7,0.024433538686436253,1.000002230688926,5.3391263473702635
000270,False,13.316530319455813,7.985724141591041,7.6176778562943195,8.791514577583984,20.418864817687446,1.9521266631417191,1.5055235763437824,1.5635985523005813,0,0,66.7541989097896,11.719382948657561,149.63678272147519,59.96850493347866,-23.4,0,-27.3,7.2,0.4301707391882221,1.0,2.3627279029348434
068270,False,4.3884857913049675,3.5061004535018316,3.1653811123128595,22.836242299794662,55.369609856262834,2.0143952675768766,1.482581376721737,1.7500762836903605,0,0,25.167143654478735,9.495197438633937,138.19978046103182,79.89317090757291,174.9,0,134.5,13.6,0.09862012987012987,1.0,0.5989538335435634
035420,False,7.5362781941829855,5.322429115634911,3.9360783573028253,18.246401037047143,,1.9833232832370895,1.9853411111265786,1.9869459499584279,0,0,41.59471230992588,4.25094377111067,134.38301033991704,70.62410620328647,22.8,0,11.2,12.6,0.3917231208811466,1.0,1.8324951836444598
028260,False,6.223972685045145,4.04267545152248,3.1338438992486846,7.7814283243991005,18.644101777573947,1.8319351558595434,1.9151654671417635,1.9515091921125916,0,0,53.95677342095776,14.126478616924476,152.1916357861302,64.95329681051061,-0.3,0,5.2,-6.9,0.44750682378004125,1.0,4.238615560923404
402340,False,25.276810569374952,23.01270062464092,17.930617184348527,74.31980544155647,98.71307696205098,2.584149762530012,2.424158469926607,2.287950578763498,0,0,9.83852343826923,34.073170731707314,233.62329131901296,91.04273880393283,189.6,0,177.9,78.1,0.9259724853485366,1.0,26.415500557569274
055550,False,8.22135574865957,0.6361021395884207,0.6304216298484061,,,0.0,1.8269654113583544,1.8171695346063879,0,0,1192.4584334803624,,,7.7371927335966735,13.6,0,2.1,0.0,2.046582603806923,1.0,0.3723368379779979
